English,Transliteration,Hebrew
step,tsa'ad,צעד
woman / wife,isha,אישה
carried / married (m.s.),nasa,נשא
minutes / thin (f.pl.),dakot,דקות
award / prize,pras,פרס
heat,khom,חום
brown,khum,חום
in a league,beliga,בליגה
in the league,baliga,בליגה
succeeded (f.s.),hetslikha,הצליחה
his way / through him/it,darko,דרכו
my book,sifri,ספרי
my books,sfarai,ספרי
the source / the beak,hamakor,המקור
used (pl.),hishtamshu,השתמשו
the high / the tall (f.s.),hagavoha,הגבוהה
the word / the circumcision,hamila,המילה
the next / the person who is coming (f.pl.),haba'ot,הבאות
the basis / the base,habasis,הבסיס
the invasion,haplisha,הפלישה
the civilization / the culture,hatarbut,התרבות
stage / phase / rung,shalav,שלב
the relation / the ratio / the attitude,hayakhas,היחס
the plant / the factory,hamif'al,המפעל
Hebrew,ivrit,עברית
shot,yeriya,ירייה
eggs,beytsim,ביצים
need (f.s.) / consumption (of goods),tsrikha,צריכה
together,beyakhad,ביחד
young (m.s.),tsa'ir,צעיר
alive / in life,bakhayim,בחיים
branch / field,anaf,ענף
joined (m.s.),hitstaref,הצטרף
illuminates (m.s.),me'ir,מאיר
therefore,lefikhakh,לפיכך
books,sfarim,ספרים
passengers / travelers / drive / travel (m.pl.),nos'im,נוסעים
competition,takharut,תחרות
ships,sfinot,ספינות
cooperation / collaboration,shituf,שיתוף
wide,rakhav,רחב
for the year [X] / for the year of / for the sleep of,lishnat,לשנת
event,eru'a,אירוע
were established / were built (m.pl.),hukmu,הוקמו
immigrants of,olei,עולי
the committee / the board,hava'ad,הוועד
the dead (m.pl.),hametim,המתים
see (m.pl.),ro'im,רואים
his family,mishpakhto,משפחתו
to hit / to damage / to offend,lifgo'a,לפגוע
the difficult / the hard (m.s.),hakashe,הקשה
the difficult / the hard (f.s.),hakasha,הקשה
in a season,be'ona,בעונה
in season,ba'ona,בעונה
the area,hasviva,הסביבה
Knesset (the Israeli parliament),kneset,כנסת
was forced / was compelled (m.s.),ne'elats,נאלץ
significant (f.s.) / in significance,mashma'utit,משמעותית
unit of / squad of,yekhidat,יחידת
line / turn,tor,תור
about,odot,אודות
appeared / performed (m.s.),hofi'a,הופיע
in a park,bepark,בפארק
in the park,bapark,בפארק
trials / attempts,nisyonot,ניסיונות
point of,nekudat,נקודת
concentration,rikuz,ריכוז
in the history of,betoldot,בתולדות
as part,kekhelek,כחלק
at the height / at the level,barama,ברמה
at a level,berama,ברמה
two years,shnatayim,שנתיים
the biology,habiologia,הביולוגיה
carbon,pakhman,פחמן
added (m.s.),hosif,הוסיף
the children,hayladim,הילדים
in the morning,baboker,בבוקר
the family,hamishpakha,המשפחה
the pull / the attraction / the withdrawal / gravity,hameshikha,המשיכה
continued (f.s.),hemshikha,המשיכה
walls,khomot,חומות
his brother,akhiv,אחיו
image / figure / shape / character,dmut,דמות
plants,tsmakhim,צמחים
fire,esh,אש
leader,manhig,מנהיג
as aforesaid,ka'amur,כאמור
hit / impact / damage / offense,pgi'a,פגיעה
the political (m.s.),hapoliti,הפוליטי
low / short (f.s.),nemukha,נמוכה
the regime,hamishtar,המשטר
construction,bniya,בנייה
the revolution,hamahapekha,המהפכה
motions / movements,tnu'ot,תנועות
the site,ha'atar,האתר
the Bible / the legend,hamikra,המקרא
the parsley,hapetrosilnon,הפטרוסלינון
the door,hadelet,הדלת
the queen,hamalka,המלכה
going out / coming out / goes out / comes out (m.s.),yotse,יוצא
leaves,alim,עלים
rain,geshem,גשם
is not / is not here (f.s.),einena,איננה
the iron,habarzel,הברזל
in much / in many,beharbe,בהרבה
before,terem,טרם
the players / the actors,hasakhkanim,השחקנים
introduced / displayed / presented / exhibited (m.s.),hetsig,הציג
the Islam,ha'islam,האסלאם
similar / resembling (m.pl.),domim,דומים
under his command,befikudo,בפיקודו
in an operation / on sale,bemivtsa,במבצע
religion,dat,דת
actually,bafo'al,בפועל
the cell,hata,התא
growth / increase / tumor,gidul,גידול
at the university of,be'universitat,באוניברסיטת
the plot / the deed / the libel / the false charge,ha'alila,העלילה
like this (f.),kazot,כזאת
the black (f.s.),hashkhora,השחורה
child (m.) / boy,yeled,ילד
must / owes / debtor(m.s.),khayav,חייב
forced / obligated / charged (m.s.),khiyev,חייב
family,mishpakha,משפחה
continues / continued / lasted / was pulled / was attracted / was withdrawn (m.s.),nimshakh,נמשך
dealt / engaged / worked (m.s.),asak,עסק
sabotage / bruising,khabala,חבלה
the high / the tall (m.s.),hagvoha,הגבוה
history,toldot,תולדות
events,eru'im,אירועים
the light (m.s.),ha'or,האור
freedom,khofesh,חופש
the knowledge,hayeda,הידע
gradually,behadraga,בהדרגה
from an origin,mimotsa,ממוצא
included (pl.),kalelu,כללו
forcefully,beko'akh,בכוח
from the period of / from the era of,mitkufat,מתקופת
were used for (pl.),shimshu,שימשו
attitude / access / approach,gisha,גישה
close to,bekirvat,בקרבת
specific (f.pl.),mesuyamot,מסוימות
obvious / evident (f.s.),nikeret,ניכרת
the original (m.s.),hamekori,המקורי
movie / ribbon / strip,seret,סרט
characteristics,me'afyenim,מאפיינים
to learn / to study,lilmod,ללמוד
his work,avodato,עבודתו
workers / operate (m.pl.),po'alim,פועלים
molecules,molekulot,מולקולות
certainly,bevadai,בודאי
the oak,ha'alon,האלון
to die,lamut,למות
hill of,giv'at,גבעת
why,madu'a,מדוע
the women,hanashim,הנשים
living / alive (f.pl.) / animals,khayot,חיות
vitality,khayut,חיות
after [time period],ka'avor,כעבור
black,shakhor,שחור
lacking (m.s.),khasar,חסר
government,memshala,ממשלה
believed (pl.),he'eminu,האמינו
machine,mekhona,מכונה
called,mekhune,מכונה
aforementioned,le'el,לעיל
as one,ke'ekhad,כאחד
the units / the squads / the only / the single (f.pl.),hayekhidot,היחידות
effects / influences,hashpa'ot,השפעות
the main (f.s.),harashit,הראשית
girls / daughters,banot,בנות
the girls of / the daughters of,bnot,בנות
pact / alliance / covenant / circumcision,bivrit,בברית
soldiers of,khayalei,חיילי
success,hatslakha,הצלחה
claim / argue / charge / load (m.s.),to'en,טוען
my soul / my spirit / my life,nafeshi,נפשי
female,nekeva,נקבה
tunnel,nikba,נקבה
in the evening,ba'erev,בערב
that this (m.),sheze,שזה
idea,ra'ayon,רעיון
the council,hamo'etsa,המועצה
will be able (m.s.),yukhal,יוכל
regime / reign,mishtar,משטר
the league,haliga,הליגה
the red,ha'adom,האדום
in a state,bemedina,במדינה
in the state,bamedina,במדינה
regarding / wherever (biblical),ba'asher,באשר
percent / percentage / is held (m.s.),akhuz,אחוז
hold (m.s. Imperative),ekhoz,אחוז
performed / executed (m.s.),bitsa,ביצע
in a ghetto,begeto,בגטו
in the ghetto,bageto,בגטו
comforting / comforts (m.s.),menakhem,מנחם
bacteria,khaydakim,חיידקים
to return,lashuv,לשוב
fell (m.s.),nafal,נפל
the hand,hayad,היד
was published / was advertised (m.s.),pursam,פורסם
lesson,shi'ur,שיעור
the good (m.pl.),hatovim,הטובים
worthy of / suitable / deserving / eligible / appropriate (m.s.),ra'ui,ראוי
death,mavet,מוות
took (m.s.),lakakh,לקח
were done / became (pl.),na'asu,נעשו
wave,gal,גל
were forced / were compelled,ne'eltsu,נאלצו
refused (m.s.),serav,סירב
are [at] / common / available (m.pl.),metsuyim,מצויים
board,lu'akh,לוח
to break into / to breach,lifrots,לפרוץ
to an owner of / to a husband,leva'al,לבעל
to the husband,laba'al,לבעל
was written (m.s.),nikhtav,נכתב
the telegram,hamivrak,המברק
his rule / his reign,shiltono,שלטונו
in captivity,beshevi,בשבי
in [the] captivity / in [the] prison,bashevi,בשבי
in captivity of,bishvi,בשבי
areas / regions / zones,azorim,אזורים
his right,yemino,ימינו
our days,yameinu,ימינו
rise of / increase of / immigration of,aliyat,עליית
in a movie / with a ribbon/strip,beseret,בסרט
in the movie / with the ribbon/strip,baseret,בסרט
evidence (pl.) / testimonies,eduyot,עדויות
problems,be'ayot,בעיות
returns (m.s.) / repeats (m.s.) / returning / repeating / circular,khozer,חוזר
kinds / classes / types,sugim,סוגים
Jewish (f.s.),yehudit,יהודית
aerobic (m.pl.),aviraniyim,אווירניים
thanks / gratitude,toda,תודה
to you / for you (m.pl.),lakhem,לכם
in favor of,be'ad,בעד
silence,sheket,שקט
quiet / silent (m.s.),shaket,שקט
calmed down / became quiet (m.s.),shakat,שקט
to stay / to remain,lehisha'er,להישאר
to understand,lehavin,להבין
that is [at] / common / available (f.s.),metsuya,המצוי
found (m.s.),matsa,מצא
to a god,le'el,לאל
to the god,la'el,לאל
[to set at] nought,le'al,לאל
room,kheder,חדר
penetrated / intruded (m.s.),khadar,חדר
sentence / trial,mishpat,משפט
friends / members (m.),khaverim,חברים
the outside,hakhuts,החוץ
the white (m.s.),halavan,הלבן
the medications / the drugs,hatrufot,התרופות
complex / composed of (m.s.),murkav,מורכב
the attitude / the access / the approach,hagisha,הגישה
in a system / in an editorial board,bema'arekhet,במערכת
in the system / in the editorial board,bama'arekhet,במערכת
cancer (disease) / crab,sartan,סרטן
the relations,hayakhasim,היחסים
equipment,tsiyud,ציוד
materials of,khomrei,חומרי
village,kfar,כפר
palace / temple,heykhal,היכל
in the season of,be'onat,בעונת
from the years of,mishnot,משנות
the electrons,ha'elektronim,האלקטרונים
the enzyme,ha'enzim,האנזים
my position,emdati,עמדתי
I stood / I was going to / I succeeded,amadeti,עמדתי
to ask / to request,levakesh,לבקש
after him,akharav,אחריו
that [it is] possible (adv.),she'efshar,שאפשר
that enabled / that facilitated (m.s.),she'ifsher,שאפשר
to carry / to marry,laset,לשאת
to introduce / to display / to present / to exhibit,lehatsig,להציג
who prepared / who made arrangements / that was held / that was edited (m.s.),shene'erakh,שנערך
difficult / hard (m.pl.),kashim,קשים
fight (m.s. imperative),hilakhem,הלחם
the material,hakhomer,החומר
the general (m.pl.),haklalit,הכללית
in a village,bekfar,בכפר
in the village,bakfar,בכפר
[in] a style of / [in] a manner of,besignon,בסגנון
victory,nitsakhon,ניצחון
in return for / in exchange for // change of / transformation of,tmurat,תמורת
and finally / and eventually,ulvasof,ולבסוף
acted / operated (pl.),pa'alu,פעלו
giant (m.s.) / necklace,anak,ענק
wine,yayin,יין
to powers / to forces / to strengths,lekokhot,לכוחות
to the powers / to the forces / to the strengths,lakokhot,לכוחות
Torah / theory / her turn,tora,תורה
artists,omanim,אמנים
friend / member (f.s.),khavera,חברה
company / society,khevra,חברה
the southern (f.s.),hadromit,הדרומית
on a site,be'atar,באתר
at the site,ba'atar,באתר
[on] a mountain,behar,בהר
[on] the mountain,bahar,בהר
the river,hanahar,הנהר
to bring close,lekarev,לקרב
to the battle,lakrav,לקרב
painting / drawing,tsiyur,ציור
the cities,ha'arim,הערים
in history,bahistoria,בהיסטוריה
might / made (m.pl.),asuyim,עשויים
contract / prophet,khoze,חוזה
in activity,bif'ilut,בפעילות
was determined / was fixed / was set (m.s.),nikba,נקבע
phenomenon,tofa'a,תופעה
appeared / performed (pl.),hofi'u,הופיעו
the humane (m.s.),ha'enoshi,האנושי
varies / changes (m.s.) / variant (stat.),mishtane,משתנה
from most / of most / so many,merov,מרוב
his eyes,einav,עיניו
sun,shemesh,שמש
attendant,shamash,שמש
the good (f.s.) / the favor,hatova,הטובה
and that / and regarding,va'asher,ואשר
beam / ray / fund / horn / bugle,keren,קרן
patients / sick (m.pl.),kholim,חולים
families,mishpakhot,משפחות
abilities / capabilities,yekholot,יכולות
to assume / to place,lehani'akh,להניח
received / accepted (f.s.),kibla,קיבלה
in a series,besidra,בסדרה
in the series,basidra,בסדרה
the economic (m.s.),hakalkali,הכלכלי
camps / groups,makhanot,מחנות
park (f.pl.),makhnot,מחנות
unit / squad / only / single,yekhida,יחידה
known (m.pl.),yedu'im,ידועים
and many,verabim,ורבים
and fight (m.pl.),veravim,ורבים
blue (m.s.),kakhol,כחול
required / demanded / preached / interpreted (m.s.),darash,דרש
in words,bemilim,במילים
in the words,bamilim,במילים
in a body,beguf,בגוף
in the body,baguf,בגוף
the front / the frontier,hakhazit,החזית
areas of / fields of / territories of,shitkhei,שטחי
superficial,shitkhi,שטחי
from the south,midarom,מדרום
to hold / to fulfill / to carry out / to maintain,lekayem,לקיים
the known (m.pl.),hayedu'im,הידועים
principles,ekronot,עקרונות
formation of / creation of / artistic work of / composition of,yetsirat,יצירת
for success,lehatslakha,להצלחה
for the success,lahatslakha,להצלחה
from the century,mehame'a,מהמאה
conservation,shimur,שימור
principle,ikaron,עקרון
the tradition,hamasoret,המסורת
the humane (f.s.),ha'enoshit,האנושית
disturbances / interferences / interruptions,hafra'ot,הפרעות
applied (m.s.),hekhil,החיל
the corps,hakhayil,החיל
appears / performs (f.s.),mofi'a,מופיעה
the whale,halivyatan,הלווייתן
I found,matsati,מצאתי
sounds / sounded (m.s.) / we will hear,nishma,נשמע
sit (m.s.),yoshev,יושב
will be (pl.),yihiyu,יהיו
who/that can,sheyakhol,שיכול
the bottom / the lower / the inferior (m.s.),hatakhton,התחתון
the other (f.pl.) / the others (f.),ha'akherot,האחרות
threat,iyum,איום
terrible / horrible (m.s.),ayom,איום
games,miskhakim,משחקים
play (m.pl.),mesakhakim,משחקים
move / step / distance,mahalakh,מהלך
to prove,lehokhi'akh,להוכיח
in procession,basakh,בסך
total / only,besakh [hakol],בסך
that was done,shena'asa,שנעשה
the father,ha'av,האב
between them (f.),beynehen,ביניהן
for a period of,lemeshekh,למשך
to/for many (f.pl.) / including,lerabot,לרבות
and mainly / and principally / and especially,uve'ikar,ובעיקר
the natural (m.s.),hativ'i,הטבעי
series,sidra,סדרה
with me,iti,איתי
the cook,hatabakh,הטבח
the slaughter,hatevakh,הטבח
the west,hama'arav,המערב
were sent (pl.),nishlekhu,נשלחו
headed by / led by,berashut,בראשות
military (f.s.),tsva'it,צבאית
political (m.s.),politi,פוליטי
the investigators / the researchers,hakhokrim,החוקרים
the learning / the Talmud,hatalmud,התלמוד
on you / about you (m.s.),alekha,עליך
on you / about you (f.s.),alaikh,עליך
the young (f.s.),hatse'ira,הצעירה
to think,lakhshov,לחשוב
to write,likhtov,לכתוב
early / preliminary (m.s.),mukdam,מוקדם
night,laila,לילה
that already,shekvar,שכבר
at a price,bimkhir,במחיר
article / saying,ma'amar,מאמר
the market,hashuk,השוק
the shock / the leg (e.g. / chicken),hashok,השוק
supposed (m.s.),amur,אמור
for a role / for the role of,letafkid,לתפקיד
for the role,latafkid,לתפקיד
that/who is called (m.s.),shenikra,שנקרא
good luck / successfully,behatslakha,בהצלחה
in a story,besipur,בסיפור
in the story,basipur,בסיפור
claim / argue / charge / load (m.pl.),to'anim,טוענים
special (f.s.),meyukhedet,מיוחדת
measure / size / quality,mida,מידה
hope,tikva,תקווה
and other (m.pl.) / and others (m.),ve'akherim,ואחרים
important (m.pl.),khashuvim,חשובים
gold,zahav,זהב
she is / is (f.),hina,הינה
visited / criticized,biker,ביקר
from this (f.),mizo,מזו
fast / rapid / quick (m.s.),mahir,מהיר
will dissolve,yimas,יימס
to/for a state,lemdina,למדינה
to/for the state,lamedina,למדינה
to play,lesakhek,לשחק
served (m.s.),sherat,שירת
ruled (m.s.),shalat,שלט
sign,shelet,שלט
that/who brought (m.s.),shehevi,שהביא
the games,hamiskhakim,המשחקים
order / instruction,hora'a,הוראה
the streets,harkhovot,הרחובות
in a company / in a society,bekhevra,בחברה
in the conpany / in the society,bakhevra,בחברה
officers,ktsinim,קצינים
the local (m.pl.),hamekomiyim,המקומיים
giving,matan,מתן
foundations / bases,yesodot,יסודות
according to her / to her mouth,lefiha,לפיה
leadership of,hanhagat,הנהגת
the protruding / that/who stand out (m.pl.),haboltim,הבולטים
the movies / the ribbons/strips,hasratim,הסרטים
the mandate,hamandat,המנדט
us,otanu,אותנו
to take,lakakhat,לקחת
walk / go (m.s.),holekh,הולך
was seen / looked (f.s.),nir'ata,נראתה
to try,lenasot,לנסות
was killed,neherag,נהרג
team / elected / selected (f.s.),nivkheret,נבחרת
the team / the elected / the selected (f.s.),hanivkheret,הנבחרת
this is (f.),zohi,זוהי
the commerce / the trade,hamiskhar,המסחר
the line,hakav,הקו
gave (m.s.),he'enik,העניק
for my son,livni,לבני
rhythm,ketsev,קצב
butcher,katsav,קצב
continuation,hemshekh,המשך
enables / facilitates (m.s.),me'afsher,מאפשר
are / constitute (m.pl.),mehavim,מהווים
and a number,umispar,ומספר
the east,hamizrakh,המזרח
existed / took place / was held (m.s.),hitkayem,התקיים
she spent / she took out / she published,hotsi'a,הוציאה
the rising / the increasing / the climbing / the immigrants (m.pl.),ha'olim,העולים
the ways / the roads,hadrakhim,הדרכים
democratic (f.pl.),demokratit,דמוקרטית
bridge,gesher,גשר
terror,teror,טרור
lasted / was pulled / was attracted / was withdrawn (f.s.),nimshekha,נמשכה
is considered,nekhshevet,נחשבת
the shipment / the delivery,hamishlo'akh,המשלוח
to the north,tsafona,צפונה
neighborhood,shkhuna,שכונה
broken open,paruts,פרוץ
the roman (f.s.),haromit,הרומית
to the sea,layam,לים
ties / bonds / links / connections,ksharim,קשרים
strong (f.s.) / possession / power (math.),khazaka,חזקה
population of,ukhlusiyat,אוכלוסיית
the television,hatelevizya,הטלוויזיה
played (m.s.),sikhek,שיחק
the division,hakhaluka,החלוקה
the climate,ha'aklim,האקלים
the organizations,ha'irgunim,הארגונים
the Histadrut (the General Federation of Laborers in Israel),hahistadrut,ההסתדרות
workers of,po'alei,פועלי
bicycle,ofanayim,אופניים
happens (f.s.),mitrakheshet,מתרחשת
sward / fencing,sayif,סיף
fruits,peirot,פירות
that if,she'im,שאם
that a mother,she'em,שאם
hunger,ra'av,רעב
hungry (m.s.),ra'ev,רעב
that they (f.) / that are (f.pl.),shehen,שהן
the cemetery,[beit] hakvarot,הקברות
reception of / acceptance of,kabalat,קבלת
the peace,hashalom,השלום
at a half / at a middle,bemakhatsit,במחצית
at the half / at the middle,bamakhatsit,במחצית
fell (f.s.),nafla,נפלה
sent (m.s.),shalakh,שלח
the black (m.s.),hashakhor,השחור
whole / complete // pay (m.s. imperative),shalem,שלם
that/who arrived (m.s.),shehigi'a,שהגיע
the affair of / the chapter of / the portion of,parashat,פרשת
surgery,nituakh,ניתוח
top / peak,si,שיא
in how many / in how much / in some,bekhama,בכמה
at a height,begova,בגובה
at the height,bagova,בגובה
nature,teva,טבע
from the days of,mimei,מימי
local (m.pl.),mekomiyim,מקומיים
well established / well based (m.s.),mevusas,מבוסס
direct (f.s.),yeshira,ישירה
the movements / the motions,hatnu'ot,התנועות
salt,melakh,מלח
sailor,malakh,מלח
assistance / aid,siyu'a,סיוע
the union,ha'ikhud,האיחוד
to/for an army,letsava,לצבא
to/for the army,latsava,לצבא
free,khofshi,חופשי
shooting / fire,yeri,ירי
the residents,hatoshavim,התושבים
fortifications,bitsurim,ביצורים
with/in creatures,beyetsurim,ביצורים
with/in the creatures,bayetsurim,ביצורים
was used for (f.s.),shimsha,שימשה
for a count,lesfira,לספירה
for the count / A.D.,lasfira,לספירה
the national (f.s.),hale'umit,הלאומית
prepared / made arrangements / were held / were edited (pl.),ne'erkhu,נערכו
the effect / the influence,hahashpa'a,ההשפעה
Torah of / theory of,torat,תורת
and in the year [X],uvishnat,ובשנת
games of,miskhakei,משחקי
my game / my play,miskhaki,משחקי
there are (f.),yeshnan,ישנן
bombs,ptsatsot,פצצות
municipality of,iriyat,עיריית
investigated / researched / inquired (m.s.),khakar,חקר
study of / research of,kheker,חקר
identical,zehe,זהה
common (m.s.),nafots,נפוץ
customary / conventional / driven (m.s.),nahug,נהוג
the pole,hakotev,הקוטב
that you (m.s.),she'ata,שאתה
the cabbage / the angel,hakruv,הכרוב
went down / came down / descended / decreased (m.s.),yarad,ירד
forward,kadima,קדימה
from the house of / from the home of,mibeit,מבית
from a house / from inside,mibayit,מבית
and even / and although,ve'afilu,ואפילו
[to] death,lemavet,למוות
[to the] death,lamavet,למוות
seven,sheva,שבע
satisfied / full (not hungry) (m.s.),save'a,שבע
page / pillar,amud,עמוד
passes / crosses / goes through (m.s.),over,עובר
embryo / fetus,ubar,עובר
to send,lishloakh,לשלוח
the truth,ha'emet,האמת
in the summer,bakayits,בקיץ
the heart,halev,הלב
found (pl),mats'u,מצאו
difficult / hard (f.pl.),kashot,קשות
the gates,hashe'arim,השערים
in the championship,ba'alifut,באליפות
in a championship,be'alifut,באליפות
in an army,betsava,בצבא
in the army,batsava,בצבא
for defense / for protection,lehagana,להגנה
for the defense / for the protection,lahagana,להגנה
broke into / broke out / burst (m.s.),parats,פרץ
personal (f.s.) / private (f.s.) / in person,ishit,אישית
participated (pl.),hishtatfu,השתתפו
proclaimed / announced / declared (m.s.),hikhriz,הכריז
relation / ratio / attitude,yakhas,יחס
to/for the player / to/for the actor,lasakhkan,לשחקן
to/for a player / to/for an actor,lesakhkan,לשחקן
the view / the landscape / the boughs of a tree,hanof,הנוף
the youth,hano'ar,הנוער
examination,bdika,בדיקה
the federal (m.s.),hafederali,הפדרלי
the groups,hakvutsot,הקבוצות
was built (f.),nivneta,נבנתה
direct / will sing (m.s.),yashir,ישיר
short (f.s.),katsara,קצרה
special (f.pl.),meyukhadot,מיוחדות
tradition,masoret,מסורת
modern (f.s.),modernit,מודרנית
companies (mil.),plugot,פלוגות
prohibition / ban,isur,איסור
creators / artists / makers (m.),yotsrim,יוצרים
phenomena,tofa'ot,תופעות
in the boulevard,basdera,בשדרה
in a boulevard,besdera,בשדרה
in a stream,benakhal,בנחל
in the stream,banakhal,בנחל
the philosophy,hafilosofia,הפילוסופיה
the energy,ha'energiya,האנרגיה
anabolic (pl.),an'aboliyim,אנאבוליים
losses / something which is lost (pl),avedot,אבידות
I / me / myself / selfish,anokhi,אנכי
vertical,anakhi,אנכי
far away,harkhek,הרחק
the spring,ha'aviv,האביב
the stick / the wand / the headquarters,hamate,המטה
up / to a hight,lagova,לגובה
to a hight of,legova,לגובה
the head / the leader,harosh,הראש
time / holiday,mo'ed,מועד
prone to (m.s.),mu'ad,מועד
to evacuate,lefanot,לפנות
on them / about them / on them (f.),aleihen,עליהן
to leave,la'azov,לעזוב
known (f.s.),yedu'a,ידועה
to explain,lehasbir,להסביר
depending on / depends (m.s.) / hung,talui,תלוי
their lives,khayeihem,חייהם
ended (m.s.),histayem,הסתיים
in the wind / with the spirit,baru'akh,ברוח
in a wind / with a spirit,beru'akh,ברוח
thanks to,hodot,הודות
the part,hakhelek,החלק
the smooth / the slippery (m.s.),hakhalak,החלק
the decision,hahakhlata,ההחלטה
houses,batim,בתים
wide / broad (m.s.),nirkhav,נרחב
battles,kravot,קרבות
getting close / approach (f.pl.),krevot,קרבות
private (m.s.),prati,פרטי
citizenship / nationality,ezrakhut,אזרחות
citizen (m.s.),ezrakh,אזרח
lacking (f.s.),khasrat,חסרת
his power / his force / his strength / the power of / the force of / the strength of,kokho,כוחו
the influence of / the affect of,hashpa'at,השפעת
the flu,hashapa'at,השפעת
the image / the figure / the shape / the character,hadmut,הדמות
protruding / stands out (m.s.),bolet,בולט
pomegranates / grenades,rimonim,רימונים
the capital of,birat,בירת
from the people of / of the people of,me'anshei,מאנשי
the Christian (f.s.),hanotsrit,הנוצרית
version,girsa,גרסה
in a series of / in the series of,besidrat,בסדרת
sample of / pattern of,dugmat,דוגמת
well established / well based (f.s.),mevuseset,מבוססת
except,lema'et,למעט
to/for a little,leme'at,למעט
to/for the few,lame'at,למעט
approval / confirmation,ishur,אישור
treasure,otsar,אוצר
the Muslims,hamuslemim,המוסלמים
Christian (m.pl.),notsrim,נוצרים
production,yitsur,ייצור
evenings,aravim,ערבים
sureties,arevim,ערבים
Arabs,arvim,ערבים
shoes,na'alayim,נעליים
the dog,hakelev,הכלב
the cricket,hatsratsar,הצרצר
home,habaita,הביתה
awful / terrible / very (m.s.),nora,נורא
morning,boker,בוקר
cowboy,boker,בוקר
bird,tsipor,ציפור
read / called (pl.),kar'u,קראו
the small / the little (m.pl.),haktanim,הקטנים
that passed / the last (m.s.),she'avar,שעבר
pair / couple,zug,זוג
when they,keshehem,כשהם
in a room,bekheder,בחדר
in the room,bakheder,בחדר
supplier,sapak,ספק
doubt,safek,ספק
and half,vekhetsi,וחצי
and a half,vakhetsi,וחצי
and these,ve'ele,ואלה
opening of,ptikhat,פתיחת
open (m.s.),patuakh,פתוח
did (pl.),asu,עשו
worry / fear,khashash,חשש
responsible / in charge (m.s.),akhra'i,אחראי
the judge,hashofet,השופט
the question,hashe'ela,השאלה
landing,hash'ala,השאלה
understood (m.s.),hevin,הבין
comparison,hashva'a,השואה
the holocaust,hasho'a,השואה
explosion,nefets,נפץ
detonator,napats,נפץ
guard,mishmar,משמר
conserves (m.s.),meshamer,משמר
directly,yeshirot,ישירות
directness / straightness,yeshirut,ישירות
important (f.s.),khashuva,חשובה
men,gvarim,גברים
claimed / argued (f.s.) / claim / argue,ta'ana,טענה
known (m.s.) / became known,noda,נודע
foundation / basis,yesod,יסוד
to/for the man / to/for the person / to/for mankind,la'adam,לאדם
to/for a man / to/for a person,le'adam,לאדם
to participate,lehishtatef,להשתתף
gates of,sha'arei,שערי
my hair,se'ari,שערי
constant / fixed / regular / permanent (m.s.),kavu'a,קבוע
holiday,khag,חג
the public (m.s.),hatsiburi,הציבורי
the reason,hasiba,הסיבה
athletes,sporta'im,ספורטאים
enemy,oyev,אויב
and the people of,ve'anshei,ואנשי
the northern (f.s.),hatsfonit,הצפונית
the resistance / the objection,hahitnagdut,ההתנגדות
that included (m.s.),shekalal,שכלל
that a rule / that [not X] at all,sheklal,שכלל
in literature,basifrut,בספרות
in hairdressing,besaparut,בספרות
the western (f.s.),hama'aravit,המערבית
performance,bitsu'a,ביצוע
the holiness,hakodesh,הקודש
rise / increase / immigration,aliya,עלייה
developed (f.s.),hitpatkha,התפתחה
the career,hakaryera,הקריירה
the modern (m.s.),hamoderni,המודרני
the expression,habitui,הביטוי
sites of,atarei,אתרי
fish (pl.),dagim,דגים
in no,beshum,בשום
to tell / to cut (hair),lesaper,לספר
[to] a book,lesefer,לספר
[to] the book,lasefer,לספר
arrive / deserve (m.pl.),megi'im,מגיעים
man,gever,גבר
overcame / defeated (m.s.),gavar,גבר
to help / to assist,la'azor,לעזור
stood up / woke up (m.s.),kam,קם
to search,lekhapes,לחפש
the next / the person who is coming (f.s.),haba'a,הבאה
back / at the rehearsal,bakhazara,בחזרה
entered (m.s.),nikhnas,נכנס
arithmetic / account / bill,kheshbon,חשבון
the works of,kitvei,כתבי
write (m.s.),kotev,כותב
fate / destiny,goral,גורל
succeed / successful (m.s.),matsliakh,מצליח
season of,onat,עונת
fear / terror,eima,אימה
the communication / the media,hatikshoret,התקשורת
in response,bitguva,בתגובה
continue (m.s.),mamshikh,ממשיך
the possibility / the option,ha'efsharut,האפשרות
finished (m.s.),siyem,סיים
were murdered,nirtsekhu,נרצחו
practical (m.s.),ma'asi,מעשי
and my husband,uva'ali,ובעלי
and the owners of,uva'alei,ובעלי
fitness / capability,kosher,כושר
passed / transferred (m.s.),he'evir,העביר
the homeland,hamoledet,המולדת
Caesar,keisar,קיסר
at a square / in a loaf,bekikar,בכיכר
at the square / in the loaf,bakikar,בכיכר
in dispute,bemakhloket,במחלוקת
in the dispute,bamakhloket,במחלוקת
residents,toshavim,תושבים
means,emtsa'im,אמצעים
events of,eru'ei,אירועי
the conditions / the provisions,hatna'im,התנאים
existed / took place / were held (pl.),hitkaimu,התקיימו
company of (mil.),plugat,פלוגת
veterans of / originated from (m.pl.),yotsei,יוצאי
to produce,lehafik,להפיק
the singing / the poetry,hashira,השירה
dropped / shed (f.s.),heshira,השירה
the building (v.),habniya,הבנייה
the oxygen,hakhamtsan,החמצן
handle / shaft,kat,קת
the marathon,hamaraton,המרתון
the whistle,hashrika,השריקה
replied / returned (f.s.),heshiva,השיבה
apparently,nidme,נדמה
the window,hakhalon,החלון
